model_label,model_name,scenario_id,seed,family,expected_fault_id,expected_action,expected_evidence_document_id,detector_triggered,call_success,parse_success,error,proposed_fault_id,proposed_action,proposed_evidence_document_id,baseline_policy_conformant,epistemic_sufficient,epistemic_deferred,epistemic_reason,epistemic_top_score,epistemic_score_margin,final_fault_id,final_action,final_evidence_document_id,gated_policy_conformant,latency_seconds,generation_tokens_per_second,eval_count,prompt_eval_count
small,qwen3:4b,battery_undervoltage-clean_known-seed-8801,8801,clean_known,battery_undervoltage,request_subsystem_status,manual-power-battery-undervoltage,True,True,True,,battery_undervoltage,request_subsystem_status,"manual-power-battery-underv: 21.74 V is below nominal (typically 24-25 V for spacecraft batteries), state of charge=22.0% is low, and undervoltage flag=true confirms the condition. The evidence explicitly states to request_subsystem_status before intervention.",False,True,False,Evidence passed frozen sufficiency and agreement checks.,0.426014322842305,0.3360300687091355,battery_undervoltage,request_subsystem_status,"manual-power-battery-underv: 21.74 V is below nominal (typically 24-25 V for spacecraft batteries), state of charge=22.0% is low, and undervoltage flag=true confirms the condition. The evidence explicitly states to request_subsystem_status before intervention.",False,24.25636719999602,18.9403043695836,171,442
small,qwen3:4b,thermal_overtemperature-clean_known-seed-8801,8801,clean_known,thermal_overtemperature,collect_more_telemetry,manual-thermal-overtemperature,True,True,True,,thermal_overtemperature,collect_more_telemetry,manual-thermal-overtemperature,True,True,False,Evidence passed frozen sufficiency and agreement checks.,0.3432032364918221,0.2932032364918221,thermal_overtemperature,collect_more_telemetry,manual-thermal-overtemperature,True,7.629810999991605,18.856319186421583,113,431
small,qwen3:4b,reaction_wheel_saturation-clean_known-seed-8801,8801,clean_known,reaction_wheel_saturation,request_subsystem_status,manual-attitude-reaction-wheel-saturation,True,True,True,,reaction_wheel_saturation,request_subsystem_status,manual-attitude-reaction-wheel-saturation,True,True,False,Evidence passed frozen sufficiency and agreement checks.,0.45,0.400970966215454,reaction_wheel_saturation,request_subsystem_status,manual-attitude-reaction-wheel-saturation,True,8.853701899992302,18.404585370983856,133,431
small,qwen3:4b,star_tracker_dropout-clean_known-seed-8801,8801,clean_known,star_tracker_dropout,run_read_only_diagnostic,manual-guidance-star-tracker-dropout,True,True,True,,star_tracker_dropout,run_read_only_diagnostic,manual-guidance-star-tracker-dropout,True,True,False,Evidence passed frozen sufficiency and agreement checks.,0.39167472590032015,0.2916747259003202,star_tracker_dropout,run_read_only_diagnostic,manual-guidance-star-tracker-dropout,True,8.271803799987538,18.56828835253541,123,441
small,qwen3:4b,transmitter_power_anomaly-clean_known-seed-8801,8801,clean_known,transmitter_power_anomaly,increase_logging,manual-communications-transmitter-power,True,True,True,,transmitter_power_anomaly,increase_logging,manual-communications-transmitter-power,True,True,False,Evidence passed frozen sufficiency and agreement checks.,0.3307189138830738,0.23787124479454785,transmitter_power_anomaly,increase_logging,manual-communications-transmitter-power,True,8.394018099992536,18.268532274926855,123,441
small,qwen3:4b,sensor_stuck_value-clean_known-seed-8801,8801,clean_known,sensor_stuck_value,collect_more_telemetry,manual-instrument-sensor-stuck,True,True,True,,sensor_stuck_value,collect_more_telemetry,manual-instrument-sensor-stuck,True,True,False,Evidence passed frozen sufficiency and agreement checks.,0.2750095491084634,0.22650242410119684,sensor_stuck_value,collect_more_telemetry,manual-instrument-sensor-stuck,True,8.362077400000999,18.993411978023275,127,440
small,qwen3:4b,battery_undervoltage-ambiguous_dual_signature-seed-8801,8801,ambiguous_dual_signature,unknown,collect_more_telemetry,none,True,True,True,,battery_undervoltage,request_subsystem_status,manual-power-battery-undervoltage,False,False,True,Independent catalogue ranking is ambiguous: top-two margin 0.0918 is below 0.1400.,0.3103448275862069,0.09183771536743798,unknown,collect_more_telemetry,none,True,10.581363100005547,18.74966247800704,167,466
small,qwen3:4b,thermal_overtemperature-ambiguous_dual_signature-seed-8801,8801,ambiguous_dual_signature,unknown,collect_more_telemetry,none,True,True,True,,thermal_overtemperature,collect_more_telemetry,manual-thermal-overtemperature,False,False,True,Independent catalogue ranking is ambiguous: top-two margin 0.0793 is below 0.1400.,0.2645751311064591,0.07926280194118379,unknown,collect_more_telemetry,none,True,9.257898500014562,18.516559799030052,139,458
small,qwen3:4b,reaction_wheel_saturation-ambiguous_dual_signature-seed-8801,8801,ambiguous_dual_signature,unknown,collect_more_telemetry,none,True,True,True,,star_tracker_dropout,run_read_only_diagnostic,manual-guidance-star-tracker-dropout,False,False,True,Independent catalogue ranking is ambiguous: top-two margin 0.0633 is below 0.1400.,0.32325409191761795,0.06328061846974531,unknown,collect_more_telemetry,none,True,8.928877999976976,18.397576648903712,132,467
small,qwen3:4b,star_tracker_dropout-ambiguous_dual_signature-seed-8801,8801,ambiguous_dual_signature,unknown,collect_more_telemetry,none,True,True,True,,star_tracker_dropout,run_read_only_diagnostic,manual-guidance-star-tracker-dropout,False,False,True,Independent catalogue ranking is ambiguous: top-two margin 0.1135 is below 0.1400.,0.28603877677367767,0.11352238693808911,unknown,collect_more_telemetry,none,True,8.088049699988915,18.90680238389569,120,466
