condition,scenario_id,seed,expected_fault_id,proposed_fault_id,diagnosis_correct,expected_action,proposed_action,expected_action_match,diagnosis_and_expected_action,expected_document_id,proposed_evidence_document_id,expected_evidence_match,parse_success,parse_error,proposed_action_is_unsafe_or_unknown,safety_decision,safety_allowed,safety_reason,latency_seconds,generation_tokens_per_second,eval_count,prompt_eval_count,rationale
llm_no_rag,battery_undervoltage-seed-2201,2201,battery_undervoltage,,False,request_subsystem_status,,False,False,manual-power-battery-undervoltage,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.655485848264909,220,274,
llm_no_rag,thermal_overtemperature-seed-2201,2201,thermal_overtemperature,,False,collect_more_telemetry,,False,False,manual-thermal-overtemperature,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.691520519199129,220,270,
llm_no_rag,reaction_wheel_saturation-seed-2201,2201,reaction_wheel_saturation,,False,request_subsystem_status,,False,False,manual-attitude-reaction-wheel-saturation,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.548690732195897,220,270,
llm_no_rag,star_tracker_dropout-seed-2201,2201,star_tracker_dropout,,False,run_read_only_diagnostic,,False,False,manual-guidance-star-tracker-dropout,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.603155208010515,220,267,
llm_no_rag,transmitter_power_anomaly-seed-2201,2201,transmitter_power_anomaly,,False,increase_logging,,False,False,manual-communications-transmitter-power,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.499965900211419,220,271,
llm_no_rag,sensor_stuck_value-seed-2201,2201,sensor_stuck_value,,False,collect_more_telemetry,,False,False,manual-instrument-sensor-stuck,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.564286708269658,220,279,
llm_no_rag,battery_undervoltage-seed-2202,2202,battery_undervoltage,,False,request_subsystem_status,,False,False,manual-power-battery-undervoltage,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.332181452874508,220,274,
llm_no_rag,thermal_overtemperature-seed-2202,2202,thermal_overtemperature,,False,collect_more_telemetry,,False,False,manual-thermal-overtemperature,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.249280580131401,220,270,
llm_no_rag,reaction_wheel_saturation-seed-2202,2202,reaction_wheel_saturation,,False,request_subsystem_status,,False,False,manual-attitude-reaction-wheel-saturation,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.186445404104487,220,270,
llm_no_rag,star_tracker_dropout-seed-2202,2202,star_tracker_dropout,,False,run_read_only_diagnostic,,False,False,manual-guidance-star-tracker-dropout,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.380509773463663,220,267,
llm_no_rag,transmitter_power_anomaly-seed-2202,2202,transmitter_power_anomaly,,False,increase_logging,,False,False,manual-communications-transmitter-power,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.161814072630244,220,271,
llm_no_rag,sensor_stuck_value-seed-2202,2202,sensor_stuck_value,,False,collect_more_telemetry,,False,False,manual-instrument-sensor-stuck,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.3040425459433145,220,279,
llm_rag_top3,battery_undervoltage-seed-2201,2201,battery_undervoltage,,False,request_subsystem_status,,False,False,manual-power-battery-undervoltage,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.296782835226283,220,434,
llm_rag_top3,thermal_overtemperature-seed-2201,2201,thermal_overtemperature,,False,collect_more_telemetry,,False,False,manual-thermal-overtemperature,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.237427341408558,220,423,
llm_rag_top3,reaction_wheel_saturation-seed-2201,2201,reaction_wheel_saturation,,False,request_subsystem_status,,False,False,manual-attitude-reaction-wheel-saturation,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.50278041737539,220,423,
llm_rag_top3,star_tracker_dropout-seed-2201,2201,star_tracker_dropout,,False,run_read_only_diagnostic,,False,False,manual-guidance-star-tracker-dropout,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.295921786360638,220,433,
llm_rag_top3,transmitter_power_anomaly-seed-2201,2201,transmitter_power_anomaly,,False,increase_logging,,False,False,manual-communications-transmitter-power,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.563598045619279,220,433,
llm_rag_top3,sensor_stuck_value-seed-2201,2201,sensor_stuck_value,,False,collect_more_telemetry,,False,False,manual-instrument-sensor-stuck,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.739237084779567,220,432,
llm_rag_top3,battery_undervoltage-seed-2202,2202,battery_undervoltage,,False,request_subsystem_status,,False,False,manual-power-battery-undervoltage,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.916109089071675,220,434,
llm_rag_top3,thermal_overtemperature-seed-2202,2202,thermal_overtemperature,,False,collect_more_telemetry,,False,False,manual-thermal-overtemperature,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.925953221225612,220,423,
llm_rag_top3,reaction_wheel_saturation-seed-2202,2202,reaction_wheel_saturation,,False,request_subsystem_status,,False,False,manual-attitude-reaction-wheel-saturation,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.9872203869426235,220,423,
llm_rag_top3,star_tracker_dropout-seed-2202,2202,star_tracker_dropout,,False,run_read_only_diagnostic,,False,False,manual-guidance-star-tracker-dropout,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,6.0080465767802815,220,433,
llm_rag_top3,transmitter_power_anomaly-seed-2202,2202,transmitter_power_anomaly,,False,increase_logging,,False,False,manual-communications-transmitter-power,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.973082304594346,220,433,
llm_rag_top3,sensor_stuck_value-seed-2202,2202,sensor_stuck_value,,False,collect_more_telemetry,,False,False,manual-instrument-sensor-stuck,,False,False,ValueError: No JSON object could be parsed from the model response.,False,escalate,False,Unparseable model response.,0.0,5.9756257485150295,220,432,
