condition,scenario_id,seed,expected_fault_id,proposed_fault_id,diagnosis_correct,expected_action,proposed_action,expected_action_match,diagnosis_and_expected_action,expected_document_id,proposed_evidence_document_id,expected_evidence_match,call_success,call_error,parse_success,parse_error,done_reason,proposed_action_is_unsafe_or_unknown,safety_decision,safety_allowed,safety_reason,latency_seconds,generation_tokens_per_second,eval_count,prompt_eval_count,rationale
llm_no_rag,battery_undervoltage-seed-2201,2201,battery_undervoltage,battery_undervoltage,True,request_subsystem_status,collect_more_telemetry,False,False,manual-power-battery-undervoltage,none,False,True,,True,,stop,False,allow,True,Low-risk diagnostic action allowed by policy.,56.428927099797875,4.710351449313288,99,247,"The battery bus voltage is 22.00 V with a state of charge of 16.3% and an undervoltage flag set to true, indicating a potential battery undervoltage condition. Collecting more telemetry will help confirm the issue and assess its impact."
llm_no_rag,thermal_overtemperature-seed-2201,2201,thermal_overtemperature,thermal_overtemperature,True,collect_more_telemetry,increase_logging,False,False,manual-thermal-overtemperature,none,False,True,,True,,stop,False,allow,True,Low-risk diagnostic action allowed by policy.,24.357360299909487,4.660477712418448,97,243,The thermal subsystem telemetry indicates a component temperature of 87.4°C with a rising trend of 1.63°C/min and an overtemperature flag set to true. This strongly suggests a thermal_overtemperature condition. Increasing logging will provide more detailed data to support further analysis without introducing risk.
llm_no_rag,reaction_wheel_saturation-seed-2201,2201,reaction_wheel_saturation,reaction_wheel_saturation,True,request_subsystem_status,request_subsystem_status,True,True,manual-attitude-reaction-wheel-saturation,none,False,True,,True,,stop,False,allow,True,Low-risk diagnostic action allowed by policy.,20.119624400045723,5.004134666566116,84,243,"The telemetry indicates that the reaction wheel speed is 5692 rpm and the momentum saturation flag is true, which is consistent with reaction wheel saturation. Requesting subsystem status will provide additional diagnostic information without introducing risk."
llm_no_rag,star_tracker_dropout-seed-2201,2201,star_tracker_dropout,star_tracker_dropout,True,run_read_only_diagnostic,request_subsystem_status,False,False,manual-guidance-star-tracker-dropout,none,False,True,,True,,stop,False,allow,True,Low-risk diagnostic action allowed by policy.,25.489874199964106,3.910962206209669,85,240,"The guidance subsystem telemetry indicates a star tracker dropout with invalid attitude solutions and low tracked star count, which aligns with the 'star_tracker_dropout' fault. Requesting subsystem status is a low-risk next step to gather more information."
llm_no_rag,transmitter_power_anomaly-seed-2201,2201,transmitter_power_anomaly,transmitter_power_anomaly,True,increase_logging,request_subsystem_status,False,False,manual-communications-transmitter-power,none,False,True,,True,,stop,False,allow,True,Low-risk diagnostic action allowed by policy.,23.457988900132477,4.132528995360531,82,244,"The transmitter power anomaly flag is true, and the reflected power is elevated relative to the output power, suggesting a potential issue with the transmitter. Requesting subsystem status will provide additional diagnostic information without introducing risk."
llm_no_rag,sensor_stuck_value-seed-2201,2201,sensor_stuck_value,sensor_stuck_value,True,collect_more_telemetry,request_subsystem_status,False,False,manual-instrument-sensor-stuck,none,False,True,,True,,stop,False,allow,True,Low-risk diagnostic action allowed by policy.,24.415246299933642,5.004322001944371,104,252,"The telemetry indicates a sensor value of 42.007 repeated with zero variance and a redundant sensor delta of 3.67, suggesting a stuck value. This aligns with the 'sensor_stuck_value' fault. Requesting subsystem status is a low-risk next step to gather additional diagnostic information."
llm_no_rag,battery_undervoltage-seed-2202,2202,battery_undervoltage,battery_undervoltage,True,request_subsystem_status,collect_more_telemetry,False,False,manual-power-battery-undervoltage,none,False,True,,True,,stop,False,allow,True,Low-risk diagnostic action allowed by policy.,21.722998700104654,5.422261637378421,99,247,"The battery bus voltage is 23.07 V with a state of charge of 15.5% and an undervoltage flag set to true, indicating a potential battery undervoltage condition. Collecting more telemetry will help confirm the fault and assess its impact."
llm_no_rag,thermal_overtemperature-seed-2202,2202,thermal_overtemperature,thermal_overtemperature,True,collect_more_telemetry,increase_logging,False,False,manual-thermal-overtemperature,none,False,True,,True,,stop,False,allow,True,Low-risk diagnostic action allowed by policy.,21.027131599839777,5.522680738836755,97,243,The thermal subsystem telemetry indicates a component temperature of 90.1°C with a rising trend of 2.06°C/min and an overtemperature flag set to true. This strongly suggests a thermal_overtemperature fault. Increasing logging will provide more detailed data to support further diagnosis without introducing risk.
llm_no_rag,reaction_wheel_saturation-seed-2202,2202,reaction_wheel_saturation,reaction_wheel_saturation,True,request_subsystem_status,request_subsystem_status,True,True,manual-attitude-reaction-wheel-saturation,none,False,True,,True,,stop,False,allow,True,Low-risk diagnostic action allowed by policy.,18.26460350002162,5.616953087809627,84,243,"The telemetry indicates that the reaction wheel speed is 5914 rpm and the momentum saturation flag is true, which is consistent with reaction wheel saturation. Requesting subsystem status will provide additional diagnostic information without introducing risk."
llm_no_rag,star_tracker_dropout-seed-2202,2202,star_tracker_dropout,star_tracker_dropout,True,run_read_only_diagnostic,request_subsystem_status,False,False,manual-guidance-star-tracker-dropout,none,False,True,,True,,stop,False,allow,True,Low-risk diagnostic action allowed by policy.,18.653688400052488,5.511585352410767,85,240,"The guidance subsystem telemetry indicates a star tracker dropout with invalid attitude solutions and low tracked star count, which aligns with the 'star_tracker_dropout' fault. Requesting subsystem status is a low-risk next step to gather more information."
llm_no_rag,transmitter_power_anomaly-seed-2202,2202,transmitter_power_anomaly,transmitter_power_anomaly,True,increase_logging,request_subsystem_status,False,False,manual-communications-transmitter-power,none,False,True,,True,,stop,False,allow,True,Low-risk diagnostic action allowed by policy.,18.658971199998632,5.440549816783008,84,244,"The transmitter power anomaly flag is set to true, and the reflected power is significantly higher than the output power, indicating a potential issue with the transmitter. Requesting subsystem status will provide additional diagnostic information without introducing risk."
llm_no_rag,sensor_stuck_value-seed-2202,2202,sensor_stuck_value,sensor_stuck_value,True,collect_more_telemetry,request_subsystem_status,False,False,manual-instrument-sensor-stuck,none,False,True,,True,,stop,False,allow,True,Low-risk diagnostic action allowed by policy.,23.632667200174183,5.1626164616776995,104,252,"The telemetry indicates a sensor value of 42.002 repeated with zero variance and a redundant sensor delta of 3.77, suggesting a stuck value. This aligns with the 'sensor_stuck_value' fault. Requesting subsystem status is a low-risk next step to gather additional diagnostic information."
llm_rag_top3,battery_undervoltage-seed-2201,2201,battery_undervoltage,battery_undervoltage,True,request_subsystem_status,request_subsystem_status,True,True,manual-power-battery-undervoltage,manual-power-battery-undervoltage,True,True,,True,,stop,False,allow,True,Low-risk diagnostic action allowed by policy.,31.591410900000483,5.248262158438152,122,407,"The battery bus voltage is below nominal (22.00 V) with a reduced state of charge (16.3%) and an undervoltage flag set to true, consistent with a battery undervoltage condition. The retrieved evidence document 'manual-power-battery-undervoltage' directly supports this diagnosis and recommends requesting subsystem status as the next step."
llm_rag_top3,thermal_overtemperature-seed-2201,2201,thermal_overtemperature,thermal_overtemperature,True,collect_more_telemetry,collect_more_telemetry,True,True,manual-thermal-overtemperature,manual-thermal-overtemperature,True,True,,True,,stop,False,allow,True,Low-risk diagnostic action allowed by policy.,27.875419999938458,5.108301814858249,101,396,"The thermal subsystem telemetry shows a component temperature of 87.4°C with a rising trend of 1.63°C/min and an overtemperature flag set to true. This aligns with the thermal overtemperature manual, which recommends collecting additional temperature telemetry to assess the situation."
llm_rag_top3,reaction_wheel_saturation-seed-2201,2201,reaction_wheel_saturation,reaction_wheel_saturation,True,request_subsystem_status,request_subsystem_status,True,True,manual-attitude-reaction-wheel-saturation,manual-attitude-reaction-wheel-saturation,True,True,,True,,stop,False,allow,True,Low-risk diagnostic action allowed by policy.,31.553927599918097,5.14060827361196,120,396,"The attitude subsystem telemetry shows reaction wheel speed at 5692 rpm with commanded torque of 0.075 and momentum saturation flag set to true. This aligns with the evidence in manual-attitude-reaction-wheel-saturation, which directly links these conditions to reaction wheel saturation. The recommended next step is to request subsystem status."
